term,crn,catalog_id,section,credits,title,timecodes,instructor
Spring2023,38931,HIST 2265,01,3.000,"History of the Indian Subcontinent: Colonialism, Nationalism, and Democracy, c.1857 to Today",['MR 1100am-1215pm 01/17-05/10'],Sunil   Purushotham
Spring2023,38932,HIST 2265,02,3.000,"History of the Indian Subcontinent: Colonialism, Nationalism, and Democracy, c.1857 to Today",['MR 0330pm-0445pm 01/17-05/10'],Sunil   Purushotham
Spring2023,37908,HIST 2270,01,3.000,History of Global Humanitarian Action,['TF 0800am-0915am 01/17-05/10'],David W.  McFadden
Spring2023,38933,HIST 2271,01,3.000,"Introduction to Russian History, Culture, and Civilization",['TF 0930am-1045am 01/17-05/10'],David W.  McFadden
Spring2023,38276,HIST 2281,01,3.000,Portrait of the Arabs,['MW 0500pm-0615pm 01/17-05/10'],Silvia   Marsans-Sakly
Spring2023,38934,HIST 3331,01,3.000,American Revolution and the New Nation,['T 0630pm-0900pm 01/17-05/10'],Jonathon   Awtrey
Spring2023,38935,HIST 3346,01,3.000,"Saints, Sinners, and Sisters: Women and Religion in American History",['W 0200pm-0430pm 01/17-05/10'],Anna M.  Lawrence
Spring2023,38936,HIST 3366,01,3.000,"Gender, Culture, and Representation: Women in China and Japan, 1600 to Present",['W 1100am-0130pm 01/17-05/10'],Danke   Li
Spring2023,38937,HIST 3990,01,1.000-3.000,Independent Study,[' TBA 01/17-05/10'],
Spring2023,37188,HONR 1101,01,3.000,Enduring Questions,['MR 1100am-1215pm 01/17-05/10'],"Peter L.  Bayers (P), Lydia E. N.  Cio"
Spring2023,37189,HONR 1101,02,3.000,Enduring Questions,['W 1100am-0130pm 01/17-05/10'],"David W.  McFadden (P), Alison E.  K"
Spring2023,37190,HONR 1101,03,3.000,Enduring Questions,['MR 0930am-1045am 01/17-05/10'],"Sabnam   Ghosh (P), Julie   Mug"
Spring2023,37191,HONR 1101,04,3.000,Enduring Questions,['MR 0930am-1045am 01/17-05/10'],"Anne Marie   Iddins (P), David   Crawf"
Spring2023,37192,HONR 1101,05,3.000,Enduring Questions,['TF 0930am-1045am 01/17-05/10'],"Paul F.  Lakeland (P), Dennis K.  Kee"
Spring2023,39072,HONR 1101,07,3.000,Enduring Questions,['MR 1100am-1215pm 01/17-05/10'],"Shannon E.  Kelley (P), William M.  Abb"
Spring2023,39073,HONR 1101,08,3.000,Enduring Questions,['MW 0630pm-0745pm 01/17-05/10'],"Kris F.  Sealey (P), David T  Woo"
Spring2023,37195,HONR 2202,01,3.000,Honors Seminar,['MR 1100am-1215pm 01/17-05/10'],Paul   Rourke
Spring2023,37196,HONR 2202,02,3.000,Honors Seminar,['TF 1100am-1215pm 01/17-05/10'],Jerelyn M.  Johnson
Spring2023,37197,HONR 2202,03,3.000,Honors Seminar,['TF 1230pm-0145pm 01/17-05/10'],Robert   Nazarian
Spring2023,37971,HONR 2202,04,3.000,Honors Seminar,['TF 0930am-1045am 01/17-05/10'],Janet   Striuli
Spring2023,37999,HONR 2202,05,3.000,Honors Seminar,['TF 0200pm-0315pm 01/17-05/10'],Emily J.  Orlando
Spring2023,39074,HONR 2202,08,3.000,Honors Seminar,['MR 1230pm-0145pm 01/17-05/10'],Nicholas David  Kapoor
Spring2023,39075,HONR 2202,09,3.000,Honors Seminar,['MR 1100am-1215pm 01/17-05/10'],Sara   Brill
Spring2023,39076,HONR 4999,01,1.000,Faculty-Designed Honors Mini-Seminar,[' TBA 01/17-05/10'],Sunil   Purushotham
Spring2023,39091,HONR 4999,02,1.000,Faculty-Designed Honors Mini-Seminar,[' TBA 01/17-05/10'],Steven Mitchell  Bayne
Spring2023,37200,HUAC 3980,01,3.000,Humanitarian Action Internship,[' TBA 01/17-05/10'],Julie   Mughal
Spring2023,37201,HUAC 4999,01,3.000,Humanitarian Action Capstone,['F 0200pm-0430pm 01/17-05/10'],Janie L.  Leatherman
Spring2023,37042,HUMN 1201,01,3.000,Technical Skills for Liberal Arts Majors,['MR 1100am-1215pm 01/17-05/10'],James P.  Cavallo
Spring2023,38047,HUMN 3210,01,3.000,Digital Publishing in the Humanities,['TF 0930am-1045am 01/17-05/10'],Marice E.  Rose
Spring2023,37043,HUMN 4301,01,3.000,Humanities Institute Seminar,[' TBA 01/17-05/10'],Sunil   Purushotham
Spring2023,37642,ISOM 2980,01,1.000,Internship,[' TBA 01/17-05/10'],Sarah Jennie  Bollinger
Spring2023,37643,ISOM 3980,01,3.000,Internship,[' TBA 01/17-05/10'],Sarah Jennie  Bollinger
Spring2023,37044,IDSN 5405,01,3.000,Drawing and Presentation,['W 0630pm-0900pm 01/17-05/10'],"Patrick A.  Kennedy (P), Robert A.  Ha"
Spring2023,38027,IDSN 5407,01,3.000,Color Design,['W 0630pm-0900pm 01/17-05/10'],"Richard S.  Killeaney (P), Robert A.  Ha"
Spring2023,37045,IDSN 5409,01,3.000,Basic Computer-Aided Design (CAD),['T 0630pm-0900pm 01/17-05/10'],"Haralampos Bobby  Moisiadis (P), Robert A.  Ha"
Spring2023,37046,IDSN 5411,01,3.000,Textiles for Interiors,['W 0930am-1200pm 01/17-05/10'],"Richard S.  Killeaney (P), Robert A.  Ha"
Spring2023,38722,IDSN 5414,01,3.000,History of Furniture II,['T 0630pm-0900pm 01/17-05/10'],"Jane L.  Swergold (P), Robert A.  Ha"
Spring2023,38723,IDSN 5414,02,3.000,History of Furniture II,['W 0930am-1200pm 01/17-05/10'],"Jane L.  Swergold (P), Robert A.  Ha"
Spring2023,37047,IDSN 5417,01,3.000,History of Architecture and Interior Design,['M 0630pm-0900pm 01/17-05/10'],"Amy   Rutledge (P), Robert A.  Ha"
