nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0456254,Sonja Kirchberger,1964,\N,actress,"tt1977087,tt2112136,tt0268653,tt1230113"
nm0829155,Alexandra Stewart,1939,\N,"actress,soundtrack","tt1772250,tt0091737,tt0072709,tt0095174"
nm0427323,Stefan Jonas,\N,\N,"director,producer,cinematographer","tt0117604,tt0338470,tt0367478,tt0395585"
nm0794779,Daryush Shokof,1954,\N,"writer,producer,director","tt2904644,tt0488344,tt0490081,tt1217561"
nm0776569,Juliane Schulze,\N,\N,"writer,assistant_director,producer","tt0117604,tt0488001,tt0490081,tt0782858"
nm0536035,Bahman Maghsoudlou,1946,\N,"producer,director,writer","tt2947610,tt2249992,tt0443721,tt0315204"
nm0053658,Gato Barbieri,1932,2016,"soundtrack,composer,music_department","tt0879870,tt0070849,tt0079153,tt0056371"
nm0875275,Elvis Tsui,1960,\N,actor,"tt0117575,tt0105400,tt1462900,tt0105859"
nm0628726,Ben Ng,\N,\N,actor,"tt0238882,tt11785762,tt0100961,tt0117903"
nm3508146,Kin Sai-men,\N,\N,writer,tt0117605
nm1088982,Angus,\N,\N,"composer,music_department","tt0117605,tt0243576,tt0113577,tt0087447"
nm0939431,Yat-Fei Wong,1946,\N,"actor,soundtrack","tt2295728,tt0286112,tt0090722,tt0103292"
nm0900915,Jürgen Vogel,1968,\N,"actor,producer,writer","tt0499101,tt1063669,tt0119510,tt0107330"
nm0374610,Thomas Heinze,1964,\N,"actor,producer","tt13710694,tt0103206,tt2112136,tt0094581"
nm0321894,Matthias Glasner,1965,\N,"director,writer,producer","tt0117607,tt0113790,tt0806910,tt0499101"
nm0738565,Sonja Rom,1969,\N,"cinematographer,camera_department,miscellaneous","tt0120669,tt1545985,tt0274812,tt0120082"
nm0336063,Dirk Grau,1963,\N,"editor,writer,director","tt1630271,tt0410520,tt1068244,tt0475317"
nm0470708,Tanja Kreitschmann,\N,\N,"art_department,production_designer","tt0110647,tt0211639,tt0203297,tt0117607"
nm0816292,Peter Sova,1944,2020,"cinematographer,camera_department,actor","tt0465580,tt0210065,tt0425210,tt0324554"
nm0000188,Steve Martin,1945,\N,"writer,actor,soundtrack","tt0131325,tt0093886,tt0079367,tt0102250"
nm0528718,Jonathan Lynn,1943,\N,"writer,actor,director","tt0100280,tt0088930,tt0080306,tt0104952"
nm0383733,Nat Hiken,1914,1968,"writer,producer,miscellaneous","tt0054528,tt1201034,tt0064606,tt0047763"
nm0106563,Andy Breckman,1955,\N,"writer,producer,actor","tt5361394,tt0250687,tt0072562,tt0312172"
nm0409305,Osamu Inoue,1932,\N,"editor,director,sound_department","tt0415091,tt0191428,tt0092128,tt0329141"
nm0945131,Kôji Yakusho,1956,\N,"actor,director,writer","tt1436045,tt0449467,tt0117615,tt0397535"
nm1294696,Ai Saotome,1958,2010,actress,"tt1558584,tt0226135,tt4019704,tt7691890"
nm1100984,Masayuki Watanabe,\N,\N,actor,"tt0207385,tt3918884,tt0459868,tt0127310"
nm0393093,Hirotarô Honda,1951,\N,actor,"tt0113306,tt1360091,tt2632184,tt1808153"
nm0396102,Tatsuoki Hosono,\N,\N,"director,writer,producer","tt0185367,tt6172144,tt4424022,tt0117610"
nm1330998,Izuru Narushima,1961,\N,"director,writer,assistant_director","tt3421614,tt3923082,tt1468338,tt3413692"
nm0368030,Kazunari Hashiguchi,\N,\N,"producer,actor","tt2930144,tt0471373,tt1703131,tt0246498"
nm1451720,Hiroaki Yabunaka,\N,\N,composer,"tt0471373,tt1020079,tt2101578,tt2150557"
nm0945418,Hideo Yamamoto,1960,\N,cinematographer,"tt0296042,tt0119250,tt0371310,tt0449630"
nm3794873,DJ Hollygrove,1984,\N,"music_department,producer","tt0117614,tt4313960,tt0490269,tt0783591"
nm0000177,Kevin Kline,1947,\N,"actor,soundtrack,director","tt0120891,tt0113117,tt0106673,tt0095159"
nm0509921,Allie Light,\N,\N,"director,producer,editor","tt7239868,tt0191285,tt0109619,tt0102114"
nm0764770,Irving Saraf,1932,2012,"editor,producer,director","tt0191285,tt0073486,tt0109619,tt0102114"
nm0085457,Noel Black,1937,2014,"director,writer,producer","tt0089601,tt0063456,tt0233023,tt0059725"
nm0562020,Kate Kline May,\N,\N,"writer,producer",tt0117614
nm0562516,Steve Mayer,\N,\N,composer,tt0117614
nm2186979,Michael Chin,\N,\N,"cinematographer,camera_department,director","tt0107282,tt0810498,tt0094416,tt1013753"
nm0003479,Steve Bloom,\N,\N,"editor,editorial_department,miscellaneous","tt1453405,tt2380307,tt1049413,tt1217209"
nm0452839,Jun'ichi Kikuchi,\N,\N,"editor,editorial_department","tt2034618,tt0105388,tt0794350,tt0117615"
nm0476195,Tamiyo Kusakari,1965,\N,actress,"tt2094984,tt12851574,tt2909724,tt0117615"
nm0847562,Naoto Takenaka,1956,\N,"actor,director,writer","tt0286916,tt0117615,tt0102480,tt0109008"
nm0913794,Eri Watanabe,1955,\N,"actress,director","tt0190739,tt5890000,tt0117615,tt0109430"
nm0839397,Masayuki Suo,1956,\N,"director,writer,assistant_director","tt2094984,tt0117615,tt0105388,tt0794350"
nm0557931,Shôji Masui,\N,\N,producer,"tt0117615,tt0105388,tt9529640,tt3890270"
nm0644535,Yûji Ogata,\N,\N,"actor,producer,manager","tt0117615,tt1697894,tt2094984,tt9529640"
nm0839398,Yoshikazu Suo,1953,\N,composer,"tt0105388,tt0117615,tt2909724,tt0794350"
nm0443235,Naoki Kayano,\N,\N,cinematographer,"tt0117615,tt0355857,tt0794350,tt0109022"
nm0632440,Jing Ning,1972,\N,"actress,soundtrack","tt1772230,tt0229539,tt0110769,tt0223998"
nm0690952,Man Kit Poon,\N,\N,"director,producer,actor","tt10326954,tt0101490,tt0100045,tt0117619"
nm1105421,Nadir Irani,\N,\N,"assistant_director,producer","tt0117623,tt0104927,tt0102846,tt0098461"
nm0792911,Sunil Shetty,1961,\N,"actor,producer","tt0242519,tt1245732,tt0118751,tt0347473"
nm0451393,Sanjay Khanna,\N,\N,"director,assistant_director","tt0135140,tt0117623,tt0112916,tt0297983"
nm0415514,Rumi Jaffery,\N,\N,"writer,actor,director","tt0476550,tt0290331,tt10280276,tt0284328"
nm1182139,Imtiaz Patel,\N,\N,writer,"tt0297983,tt0348824,tt0328671,tt0267548"
nm1182352,Yunus Sajawal,\N,\N,"writer,director","tt0297983,tt1948150,tt4535650,tt2112124"
nm1276038,Nadeem Irani,\N,\N,"assistant_director,producer","tt0107311,tt0117623"
nm0122653,Edward Burns,1968,\N,"actor,writer,producer","tt0117628,tt0120815,tt0112585,tt0491109"
nm0569458,Michael McGlone,1972,\N,"miscellaneous,actor","tt0145681,tt2331880,tt0112585,tt1839578"
nm0394046,Ted Hope,1962,\N,"producer,assistant_director,production_manager","tt0315733,tt0119349,tt0107156,tt0305206"
nm0770005,James Schamus,1959,\N,"producer,writer,director","tt0119349,tt0190332,tt0388795,tt0808357"
