term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Summer2020,50306,FT 0470,OL1,3.000,Sexual and Gender Minority Mental Health,"[{'days': 'R', 'times': '0100pm-0300pm', 'dates': '05/28-06/18', 'location': 'ONLINE '}]",['R 0100pm-0300pm 05/28-06/18 ONLINE '],Erica E.  Hartwell,Erica E.  Hartwell (P),20,12,8
Summer2020,50332,FT 0550,OL1,3.000,Introduction to Marriage and Family Therapy,"[{'days': 'MTWRF', 'times': '1000am-0500pm', 'dates': '08/17-08/21', 'location': 'ONLINE '}]",['MTWRF 1000am-0500pm 08/17-08/21 ONLINE '],Maryann Hayes  LaBella,Maryann Hayes  LaBella (P),20,18,2
Summer2020,50333,FT 0552,X1,3.000,Intervention in Structural and Strategic Family Therapy,"[{'days': 'MTWRF', 'times': '1000am-0500pm', 'dates': '08/17-08/21', 'location': 'CNS 304'}]",['MTWRF 1000am-0500pm 08/17-08/21 CNS 304'],Rona   Preli,Rona   Preli (P),20,17,3
Summer2020,50334,FT 0553,X1,3.000,Family Therapy Pre-Practicum,"[{'days': 'MTWRF', 'times': '1000am-0500pm', 'dates': '08/24-08/28', 'location': 'CNS 104'}]",['MTWRF 1000am-0500pm 08/24-08/28 CNS 104'],Nicole B.  O'Brien,Nicole B.  O'Brien (P),7,6,1
Summer2020,50335,FT 0553,X2,3.000,Family Therapy Pre-Practicum,"[{'days': 'MTWRF', 'times': '1000am-0500pm', 'dates': '08/24-08/28', 'location': 'CNS 103'}]",['MTWRF 1000am-0500pm 08/24-08/28 CNS 103'],Maryann Hayes  LaBella,Maryann Hayes  LaBella (P),6,7,-1
Summer2020,50081,FT 0559,OL1,3.000,Practicum in Family Therapy I,"[{'days': 'M', 'times': '0200pm-0700pm', 'dates': '06/03-06/29', 'location': 'ONLINE '}]",['M 0200pm-0700pm 06/03-06/29 ONLINE '],Leah P.  Brown,Leah P.  Brown (P),6,3,3
Summer2020,50243,FT 0559,OL2,3.000,Practicum in Family Therapy I,"[{'days': 'R', 'times': '0200pm-0700pm', 'dates': '06/01-07/30', 'location': 'ONLINE '}]",['R 0200pm-0700pm 06/01-07/30 ONLINE '],Jennifer C.  Slack Gans,Jennifer C.  Slack Gans (P),6,2,4
Summer2020,50244,FT 0560,OL1,3.000,Practicum in Family Therapy II,"[{'days': 'M', 'times': '0200pm-0700pm', 'dates': '06/01-07/30', 'location': 'ONLINE '}]",['M 0200pm-0700pm 06/01-07/30 ONLINE '],Leah P.  Brown,Leah P.  Brown (P),6,2,4
Summer2020,50245,FT 0560,OL2,3.000,Practicum in Family Therapy II,"[{'days': 'R', 'times': '0300pm-0800pm', 'dates': '06/01-07/30', 'location': 'ONLINE '}]",['R 0300pm-0800pm 06/01-07/30 ONLINE '],Jennifer C.  Slack Gans,Jennifer C.  Slack Gans (P),6,4,2
Summer2020,50273,FT 0568F,OL1,1.500,Affirmative Care with Transgender and Gender Diverse Youth and Adults,[],[],Daran   Shipman,Daran   Shipman (P),20,16,4
